id,brand,category,productCategory,colorway,condition,minimumBid,gender,name,releaseDate,retailPrice,shoe,lowestAsk,lowestAskSize,salesThisPeriod,highestBid,highestBidSize,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,salesLast72Hours,totalDollars,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank,img
b47fbd8e-4f94-43b0-9723-759698713bfa,Jordan,Air Jordan Five,sneakers,White/Fire Red-Black,New,25,men,Fire Red,2016-03-12 23:59:59,175,Jordan 5 Retro Low,160,10.5,2,211,8.5,46,270,100,0.188688,178,-0.131,168,2,29974,44,32,78,"https://stockx.imgix.net/Air-Jordan-5-Retro-Low-Fire-Red.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
e6c72bb1-dafc-47b3-8d9c-9588de758c3b,Jordan,Air Jordan Five,sneakers,Light Graphite/White-Wolf Grey,New,25,men,Wolf Grey,2011-05-14 23:59:59,150,Jordan 5 Retro,285,12,2,265,11,53,399,200,0.083161,161,1,278,2,44745,99,80,74,"https://stockx.imgix.net/Jordan-5-Retro-Wolf-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1549049575"
6714373b-7398-4857-9d15-3596c1d1346c,Jordan,Air Jordan Five,sneakers,Grey/Black,New,25,child,Wolf Grey (GS),2016-08-20 23:59:59,140,Jordan 5 Retro,78,"5Y, 5Y, 5Y, 5Y, 5Y,",2,106,9.5Y,43,185,50,0.432168,133,-0.443,88,2,11648,48,22,9,"https://stockx.imgix.net/Air-Jordan-5-Retro-Wolf-Grey-GS.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
04029d8c-70bd-4036-819f-33f8de0bfeb9,Jordan,Air Jordan Five,sneakers,White / Metallic Gold Star - Midnight Navy,New,25,men,Dunk From Above,2016-02-20 23:59:59,175,Jordan 5 Retro Low,145,11.5,2,190,8.5,22,206,87,0.168548,118,-0.229,136,2,16066,98,85,32,"https://stockx.imgix.net/Air-Jordan-5-Retro-Low-Dunk-From-Above.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
10fa5f41-a876-425b-b8da-3f0e517b8b8a,Jordan,Air Jordan Five,sneakers,Black/Black-Light Bone-Metallic Field,New,25,child,Heiress Camo (GS),2017-09-16 23:59:59,160,Jordan 5 Retro,67,7Y,2,87,8.5Y,38,123,30,0.276308,114,-0.681,72,2,8223,43,37,32,"https://stockx.imgix.net/Air-Jordan-5-Retro-Heiress-Camo-GS-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1559156504"
081f9653-95be-452a-9206-f4c96b31872f,Jordan,Air Jordan Five,sneakers,Varsity Royal/Varsity Maize-Light Charcoal,New,25,preschool,Laney Varsity Royal (PS),2019-02-02 23:59:59,85,Jordan 5 Retro,75,2.5,2,50,2,8,150,35,0.41833,39,-0.412,68,2,2653,74,67,86,"https://stockx.imgix.net/Air-Jordan-5-Retro-Laney-Varsity-Royal-PS.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1548271458"
0a99d0a6-a630-48f1-bda7-7cfc31dcd282,Jordan,Air Jordan Five,sneakers,Dark Stucco/University Red-River Rock,New,25,child,P51 Camo (GS),2017-09-02 23:59:59,140,Jordan 5 Retro,95,6Y,2,65,5Y,21,179,60,0.300038,36,-0.393,91,2,3280,94,31,34,"https://stockx.imgix.net/Air-Jordan-5-Retro-P51-Camo-GS.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
db12ace5-395c-4b22-92e1-b4f2a76a68b1,Jordan,Air Jordan Five,sneakers,White/Crimson Pulse-Light Aqua-Black,New,25,child,Light Aqua (GS),2018-07-14 23:59:59,140,Jordan 5 Retro,177,7Y,1,225,5Y,52,325,100,0.165264,629,0.221,161,1,101537,54,21,62,"https://stockx.imgix.net/Air-Jordan-5-Retro-Light-Aqua-GS-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
ec27cef2-88aa-444e-8bf7-8029fced816c,Jordan,Air Jordan Five,sneakers,White/Black-Metallic Gold Coin,New,25,men,Olympic (2016),2016-08-20 23:59:59,190,Jordan 5 Retro,137,18,1,195,8,56,263,109,0.186264,495,-0.2,177,1,87822,15,19,90,"https://stockx.imgix.net/Air-Jordan-5-Retro-Olympic-2016-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1559855242"
2801e6be-0d8d-45af-a642-4ea750ec6add,Jordan,Air Jordan Five,sneakers,Desert Camo/Fire Red-Black,New,25,men,Supreme Desert Camo,2015-10-16 23:59:59,198,Jordan 5 Retro,460,9.5,1,610,16,100,697,350,0.061929,452,1.47,454,1,205248,98,95,75,"https://stockx.imgix.net/Air-Jordan-5-Retro-Supreme-Desert-Camo-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1559156541"
